force_code,force_name,month,dataset_month_listed,coverage_status,month_notices,known_issues,later_notices_for_review,asb_completeness,source_url,retrieved_at,source_sha256,availability_source_url,availability_retrieved_at,availability_sha256
E23000020,Lincolnshire,2026-02,yes,Unknown; no notice is not proof of completeness,,,2026-06: Lincolnshire Police: Crime data refresh for May 2026. | 2026-05: Lincolnshire Police: Crime data not provided for May 2026. The force will provide a data refresh as soon as possible.,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000020,Lincolnshire,2026-03,yes,Unknown; no notice is not proof of completeness,,,2026-06: Lincolnshire Police: Crime data refresh for May 2026. | 2026-05: Lincolnshire Police: Crime data not provided for May 2026. The force will provide a data refresh as soon as possible.,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-04,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-05,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-06,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-07,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-08,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-09,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-10,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-11,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2025-12,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2026-01,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2026-02,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000021,Leicestershire,2026-03,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-04,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-05,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-06,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-07,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-08,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-09,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-10,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-11,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2025-12,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2026-01,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2026-02,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000022,Northamptonshire,2026-03,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-04,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-05,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-06,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-07,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-08,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-09,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-10,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-11,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2025-12,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2026-01,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2026-02,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000023,Cambridgeshire,2026-03,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-04,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-05,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-06,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-07,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-08,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-09,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-10,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-11,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2025-12,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2026-01,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2026-02,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000024,Norfolk,2026-03,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
E23000025,Suffolk,2025-04,yes,Unknown; no notice is not proof of completeness,,,,Unknown,https://data.police.uk/changelog/,2026-09-05T16:05:12.081357+00:00,f7c66fab36b0fee02000690c60519b77463003d57bb5903cbcd750af28a8357d,https://data.police.uk/api/crimes-street-dates,2026-09-05T16:04:46.173100+00:00,0a17d60fd68ee9bd19055de13c27028c5f1fe8a3e370fde21d32d7d5704da298
